Model_Name,Product_Line,Segment,CPU_Vendor,CPU_Model,CPU_Generation,GPU_Type,GPU_Name,GPU_VRAM_GB,RAM_GB,Storage_GB,Screen_Size_Inches,Screen_Panel_Type,Screen_Refresh_Rate_Hz,Screen_Touch,Battery_Whr,Price_VND
Inspiron 7156,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,60,No,41,15130000
Vostro 7460,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,17.3,Standard,60,No,41,15380000
Vostro 5153,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,IPS,90,No,54,14390000
Latitude 5078,Latitude,Business/Ultrabook,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,16,512,13.3,Standard,60,No,60,25040000
Inspiron 3135,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,OLED,60,No,54,19200000
Inspiron 3249,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,1000,15.6,Standard,144,No,54,15440000
Vostro 5573,Vostro,Business,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,60,No,41,15510000
Vostro 5403,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,1000,15.6,Standard,60,No,54,19740000
Vostro 7818,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,13.3,Standard,60,No,54,14690000
Inspiron 7725,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,60,No,54,12550000
Inspiron 5250,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,60,No,41,14080000
Inspiron 3566,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,15.6,IPS,60,No,64,18170000
Inspiron 7389,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,256,15.6,IPS,60,No,41,12120000
Vostro 7511,Vostro,Business,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,16,256,14,IPS,60,No,60,16830000
Inspiron 5456,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,54,13920000
Latitude 9057,Latitude,Business/Ultrabook,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,32,1000,14,Standard,60,No,60,28550000
G15 7512,G Series,Gaming,Intel,Core i7,14,Dedicated,Intel Arc A370M,4,32,2000,14,OLED,120,No,64,42490000
Inspiron 5219,Inspiron,Consumer,AMD,Ryzen 5,7000,Dedicated,NVIDIA MX550,2,8,256,14,OLED,60,No,54,20900000
Vostro 7447,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,41,18290000
Vostro 5240,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,54,14960000
Inspiron 5171,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,60,No,41,16190000
Inspiron 3741,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,1000,17.3,IPS,60,No,54,23180000
G15 8675,G Series,Gaming,AMD,Ryzen 5,7000,Dedicated,AMD Radeon RX 6500M,4,8,1000,15.6,Standard,120,No,41,33870000
Inspiron 7324,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,60,No,54,16050000
Inspiron 5738,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,13.3,Standard,60,No,41,14950000
Inspiron 3621,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,144,No,41,19780000
Inspiron 3888,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,14,IPS,60,No,41,14560000
Inspiron 7687,Inspiron,Consumer,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,120,No,54,16820000
Vostro 7915,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,256,15.6,Standard,60,No,54,19500000
Inspiron 7957,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,Yes,54,14670000
Vostro 3503,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,60,15470000
Inspiron 7895,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,256,15.6,IPS,60,No,60,18380000
Latitude 5072,Latitude,Business/Ultrabook,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,60,No,60,30090000
Vostro 7727,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,512,16,Standard,60,No,41,15590000
Inspiron 5565,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,16,256,15.6,Standard,60,No,41,15710000
Vostro 3616,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,1000,14,Standard,60,No,54,17450000
Inspiron 3865,Inspiron,Consumer,AMD,Ryzen 5,6000,Dedicated,NVIDIA MX550,2,16,256,13.3,Standard,60,No,54,19120000
Inspiron 5658,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,60,No,41,18310000
Vostro 7478,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,54,18160000
Latitude 5033,Latitude,Business/Ultrabook,Intel,Core i7,14,Integrated,Intel Iris Xe,0,8,1000,14,IPS,60,No,60,32180000
G16 6187,G Series,Gaming,Intel,Core i7,13,Dedicated,NVIDIA RTX 3060,6,16,256,16,Standard,120,No,64,39210000
Vostro 3608,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,14,IPS,60,No,41,17330000
Inspiron 7631,Inspiron,Consumer,Intel,Core i7,13,Integrated,Intel Iris Xe,0,8,256,14,IPS,60,No,41,17710000
G15 4381,G Series,Gaming,Intel,Core i7,14,Dedicated,NVIDIA RTX 3060,6,32,1000,15.6,Standard,120,Yes,60,41310000
Latitude 9064,Latitude,Business/Ultrabook,Intel,Core i7,12,Integrated,Intel Iris Xe,0,32,256,15.6,IPS,60,No,60,33950000
Inspiron 5542,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,IPS,60,No,41,18560000
Inspiron 7719,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,120,No,54,19230000
XPS 1526,XPS,Ultrabook/Premium,Intel,Core Ultra 5,Ultra,Dedicated,AMD Radeon RX 7600S,8,16,1000,15.6,IPS,90,No,54,48590000
Inspiron 5605,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,54,17330000
XPS 1478,XPS,Ultrabook/Premium,Intel,Core i7,13,Integrated,Intel Iris Xe,0,16,512,14,IPS,90,No,60,36860000
G15 1073,G Series,Gaming,Intel,Core i5,14,Dedicated,NVIDIA RTX 3050,6,16,1000,15.6,Standard,165,No,70,38710000
Vostro 5464,Vostro,Business,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,60,Yes,54,15290000
Vostro 5687,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,IPS,60,No,41,20120000
Inspiron 7615,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,512,14,Standard,60,No,54,13710000
Vostro 5312,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,60,Yes,54,19090000
Inspiron 7327,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,90,No,60,13840000
Inspiron 5737,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,1000,14,OLED,60,No,54,19680000
Vostro 3489,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,32,512,14,IPS,60,No,54,18060000
XPS 1537,XPS,Ultrabook/Premium,Intel,Core i5,13,Dedicated,NVIDIA RTX 3060,6,16,512,15.6,OLED,90,No,64,44110000
Vostro 3801,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,14,Standard,120,No,70,14860000
Vostro 7921,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,13.3,IPS,60,Yes,41,14740000
Vostro 3240,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,90,No,54,18390000
Vostro 5428,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,14,IPS,60,No,54,15220000
Vostro 5218,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,IPS,60,No,41,19840000
Vostro 7143,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,1000,14,IPS,60,No,60,18230000
Inspiron 3339,Inspiron,Consumer,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,8,1000,14,IPS,144,No,41,17640000
Inspiron 5904,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,1000,15.6,IPS,60,No,54,19770000
Inspiron 7741,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,120,No,41,16960000
XPS 1450,XPS,Ultrabook/Premium,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,14,OLED,90,Yes,80,39380000
Inspiron 7593,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,14,Standard,60,No,41,17620000
Inspiron 7728,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,1000,14,Standard,60,No,41,16510000
Latitude 3079,Latitude,Business/Ultrabook,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,8,2000,13.3,IPS,165,No,60,29210000
Inspiron 3557,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,13.3,Standard,60,No,54,12930000
Inspiron 7729,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,32,1000,17.3,Standard,60,Yes,41,20690000
Inspiron 7855,Inspiron,Consumer,AMD,Ryzen 5,7000,Dedicated,NVIDIA MX550,2,8,2000,14,Standard,60,Yes,54,20790000
Inspiron 5969,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,1000,15.6,Standard,60,No,54,18120000
Vostro 3722,Vostro,Business,Intel,Core i3,12,Dedicated,Intel Arc A370M,4,8,256,16,IPS,60,No,54,15460000
Inspiron 7446,Inspiron,Consumer,AMD,Ryzen 3,7000,Dedicated,AMD Radeon RX 6500M,4,16,512,14,IPS,60,Yes,54,18170000
Inspiron 5278,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,256,15.6,IPS,60,No,54,16550000
Inspiron 5243,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,60,No,54,15700000
Inspiron 3420,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,15.6,OLED,60,No,41,16270000
Vostro 3284,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,60,No,54,16830000
Latitude 7040,Latitude,Business/Ultrabook,AMD,Ryzen 7,6000,Integrated,AMD Radeon Graphics,0,32,512,14,IPS,60,No,64,31250000
Inspiron 7638,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,Standard,60,Yes,54,20020000
Inspiron 3313,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,No,41,15120000
Vostro 3899,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,15.6,IPS,60,No,41,17600000
Vostro 5870,Vostro,Business,Intel,Core i7,12,Integrated,Intel Iris Xe,0,32,256,14,IPS,60,No,41,24520000
Inspiron 3693,Inspiron,Consumer,Intel,Core i3,12,Dedicated,NVIDIA MX550,2,16,256,14,IPS,60,No,54,16130000
Inspiron 5800,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,32,1000,14,IPS,60,No,54,20340000
Latitude 9035,Latitude,Business/Ultrabook,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,1000,13.3,Standard,60,No,60,29920000
Inspiron 7523,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,512,14,Standard,60,No,41,14140000
Latitude 9034,Latitude,Business/Ultrabook,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,1000,14,Standard,120,No,60,31960000
Vostro 3842,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,1000,14,IPS,60,No,41,18860000
Vostro 7292,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,14,Standard,60,No,41,16780000
G15 2471,G Series,Gaming,Intel,Core i7,13,Dedicated,NVIDIA RTX 3060,6,32,1000,14,Standard,144,No,54,42210000
Vostro 7661,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,512,13.3,Standard,60,No,54,15010000
Vostro 7215,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,512,13.3,Standard,60,No,41,15310000
G15 4354,G Series,Gaming,AMD,Ryzen 5,7000,Dedicated,AMD Radeon RX 7600S,8,16,512,15.6,Standard,120,No,60,36570000
Inspiron 3654,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,60,No,41,16290000
Inspiron 3118,Inspiron,Consumer,Intel,Core i5,14,Dedicated,NVIDIA MX550,2,16,256,13.3,Standard,90,No,54,19500000
Inspiron 7901,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,1000,14,IPS,60,No,54,20210000
G15 7400,G Series,Gaming,Intel,Core i5,14,Dedicated,NVIDIA RTX 3060,6,32,2000,17.3,Standard,120,No,64,42890000
Inspiron 5677,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,512,15.6,IPS,60,No,41,14690000
Inspiron 7249,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,IPS,60,No,41,17860000
Inspiron 7374,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,1000,13.3,IPS,60,No,54,17130000
Inspiron 5668,Inspiron,Consumer,AMD,Ryzen 5,6000,Dedicated,NVIDIA MX550,2,8,1000,17.3,IPS,60,No,54,19360000
Inspiron 3198,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,16,256,15.6,Standard,60,No,54,16550000
Vostro 3350,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,32,512,14,IPS,60,No,41,22000000
Vostro 3272,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,41,18850000
G15 4821,G Series,Gaming,Intel,Core Ultra 7,Ultra,Dedicated,Intel Arc A370M,4,32,512,15.6,Standard,120,No,41,38940000
Inspiron 7347,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,512,15.6,Standard,60,No,54,15990000
Inspiron 7628,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,41,12490000
Inspiron 5348,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,15.6,Standard,60,Yes,54,13090000
Vostro 5986,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,512,15.6,OLED,60,No,41,19160000
Vostro 5972,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,60,No,54,20490000
Inspiron 7850,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,16,1000,15.6,Standard,60,No,41,14480000
G15 9621,G Series,Gaming,Intel,Core i5,14,Dedicated,NVIDIA RTX 4050,6,32,512,15.6,Standard,120,Yes,54,43260000
Vostro 3665,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,14,Standard,60,No,54,16340000
Inspiron 7558,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,Standard,90,No,41,14460000
Latitude 7018,Latitude,Business/Ultrabook,Intel,Core i5,12,Dedicated,Intel Arc A370M,4,16,512,14,Standard,60,No,70,30140000
Inspiron 5167,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,16,Standard,60,No,64,12600000
Inspiron 7721,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,17.3,IPS,60,No,54,17870000
Inspiron 7983,Inspiron,Consumer,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 3050,4,16,256,15.6,IPS,60,No,41,23100000
XPS 1560,XPS,Ultrabook/Premium,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 4060,8,8,512,15.6,OLED,60,No,70,44700000
Vostro 5341,Vostro,Business,Intel,Core i3,13,Dedicated,Intel Arc A370M,4,8,256,15.6,IPS,120,No,54,18390000
Vostro 7798,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,16,IPS,60,No,54,14700000
Inspiron 3333,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,60,No,54,16580000
Inspiron 7826,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,14,Standard,60,No,54,16820000
Vostro 3352,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,256,16,IPS,60,No,54,19420000
