Name,Storage,Price,ScreenSize,CPU,RAM,GPU,Shell,Weight,Battery,Shop
Laptop Dell Inspiron 15 3520 N3520,512,16490000.0,15.6,Intel Core i5-1235U,16GB,Intel UHD Graphics,nhựa,1.9,"Pin liền, 3-Cell Battery, 41WHrC32",cellphones
Laptop Dell Latitude 3540 71038100,512,16990000.0,15.6,Intel Core i5-1235U,16GB,Intel Iris Xe Graphics,nhựa,1.81,"3 cell, 42 Wh, có khả năng sạc nhanh",cellphones
Laptop Dell Vostro 3530 2H1024PI7,512,17990000.0,15.6,Intel Core i7-1355U thế hệ thứ 13,16GB,Intel Iris Xe Graphics,Carbon,1.66,"41Wh , 3Cell",cellphones
Laptop Dell Inspiron 15 3530 N5I5407W1,512,18490000.0,15.6,Intel Core i5-1334U,16GB,Intel Graphics,nhựa,1.62,"3-Cell Battery, 41WHr (Integrated)",cellphones
Laptop Dell Inspiron 15 3520 I3520-7896BLK-PUS,1024,18790000.0,15.6,Intel Core i7-1255U,16GB,Intel Iris Xe Graphics,nhựa,1.66,"3 Cell, 41 Wh",cellphones
Laptop Dell Inspiron 15 3530 N5I7240W1,512,21490000.0,15.6,Intel Core i7-1355U,16GB,Intel Iris Xe Graphics,nhựa,1.66,"4-Cell Battery, 54WHr",cellphones
Laptop Dell Inspiron 15 3530 P16WD,1024,22490000.0,15.6,Intel Core i7-1355U,16GB,Intel Iris Xe Graphics,Nhựa,1716.0,4 Cell Int (54Wh),cellphones
Laptop Dell Inspiron 14 5440 N5440-C5U165W11IBD2,512,24690000.0,14,Intel Core 5 120U,16GB,NVIDIA GeForce MX570A 2GB GDDR6,Vỏ nhựa - nắp lưng kim loại,1.65,"Pin liền, 4-Cell Battery, 54WHr",cellphones
Laptop Dell Inspiron 14 5440 71034770,1024,26990000.0,14,Core 7-150U,16GB,MX570A 2GB GDDR6,nhựa,1.63,Pin liền,cellphones
Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),512,13990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (71027003),512,13990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Vostro 15 3520 i5 1235U (5M2TT2),512,14490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,1.67,"3-cell, 41Wh",thegioididong
Dell Vostro 15 3520 i5 1235U (V5I5610W1),512,14490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,1.85,"3-cell, 41Wh",thegioididong
Dell Vostro 3420 i5 1235U (V4I5702W1),512,14490000.0,"14"", Full HD (1920 x 1080)","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,1.49,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11SLU),512,14990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",8,Intel UHD,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Vostro 15 3520 i5 1235U (i5U165W11GRU),512,15990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U,512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Vostro 3520 i5 1235U (71030559),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (71043883),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz"," i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (N3520-i5U165W11BLU-FP),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz"," i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3520 i5 1235U (N5I5057W1),512,16490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,45901.0,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1335U (N3530-i5U085W11BLU),512,16990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1335U, 1.3GHz",8,Intel UHD,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Latitude 3440 i5 1235U (L3440-I51235U-16G512G),512,16990000.0,"14"", Full HD (1920 x 1080)","i5, 1235U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1334U (N5I5340W1),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.54,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Vostro 3530 i5 1335U (80GG93),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1335U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1334U (71043885),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1334U (P16WD2),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i5 1334U (N5I5530W1),512,18490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.65,"3-cell, 41Wh",thegioididong
Dell Latitude 3450 i5 1335U (L3450-1335U-16512W),512,18890000.0,"14"", Full HD (1920 x 1080)","i5, 1335U, 1.3GHz",16,Intel UHD,Nhựa,1.66,"3-cell, 42Wh",thegioididong
Dell Inspiron 15 3520 i7 1255U (N3520-i7U165W11BLU-FP),512,19990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1255U, 1.7GHz",16,Intel Iris Xe,Nhựa,45778.0,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3520 i7 1255U (71053682),512,19990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1255U, 1.7GHz",16,Intel Iris Xe,Nhựa,45901.0,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3520 i7 1255U (N5I7125W1),512,19990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1255U, 1.7GHz",16,Intel Iris Xe,Nhựa,45901.0,"4-cell, 54Wh",thegioididong
Dell Inspiron 14 5440 i5 1334U (NDY5V1),512,20990000.0,"14"", Full HD+ (1920 x 1200)","i5, 1334U, 1.3GHz",16,Intel Iris Xe,Nhựa,1.66,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3520 i7 1255U (25P2315),512,19990000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1255U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.54,"3-cell, 41Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (71026454),512,21490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.65,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),512,21490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.66,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (71043888),512,21490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.65,"3-cell, 54 Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (N5I7240W1),512,21490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.66,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (N5I7305W1),512,21490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.66,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (P16WD),1024,22490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U",16,Intel Iris Xe,Nhựa,1.65,"4-cell, 54Wh",thegioididong
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11BLU-FP),1024,22490000.0,"15.6"", Full HD (1920 x 1080), 120Hz","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,1.66,"4-cell, 54Wh",thegioididong
Dell Latitude 3440 i7 1355U (71038103),512,22790000.0,"14"", Full HD (1920 x 1080)","i7, 1355U, 1.7GHz",16,Intel Iris Xe,Nhựa,45809.0,"3-cell, 42Wh",thegioididong
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),512,24490000.0,"14"", Full HD+ (1920 x 1200)","Core 7, 150U",16,Intel Graphics,Nhựa,1.67,"4-cell, 54Wh",thegioididong
Dell Inspiron 14 5440 Core 7 150U (7FN5J),1024,24990000.0,"14"", Full HD+","Core 7, 150U",16,Intel Graphics,Nhựa,1.56,"4-cell, 54Wh",thegioididong
Dell Latitude 5450 Ultra 5 125U (L5450-125U-16512W),512,24990000.0,"14"", Full HD (1920 x 1080)","Ultra 5, 125U, 1.3GHz",16,Intel Graphics,Nhựa,45748.0,"3-cell, 42Wh",thegioididong
Dell Inspiron 16 5640 Core 7 150U (N5640-C7U161W11IBU),1024,25990000.0,"16"", Full HD+","Core 7, 150U",16,Intel Graphics,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.98,"4-cell, 54Wh",thegioididong
Dell Inspiron 14 5430 i5 1340P (N5430-i5P165W11SL2050),512,26490000.0,"14"", QHD+ (2560 x 1600) 16:10, 120Hz","i5, 1340P, 1.9GHz",16,RTX 2050 4GB,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.78,"4-cell, 54Wh",thegioididong
Dell Inspiron 16 5640 Core 7 150U (KHPF5),1024,26990000.0,"16"", Full HD+ (1920 x 1200)","Core 7, 150U",16,"NVIDIA Geforce MX570A, 2 GB",Vỏ nhựa,1.87,"4-cell, 54Wh",thegioididong
Dell Inspiron 7440 Core 5 120U (N4I5006W1),1024,28990000.0,"14"", Full HD+, Cảm ứng","Core 5, 120U, 1.4GHz",16,Intel Graphics,Vỏ nhựa,1.74,"4-cell, 54Wh",thegioididong
Dell Latitude 5350 Ultra 7 165U (L5350-165U-16512W),512,29990000.0,"13.3"", Full HD (1920 x 1080)","Ultra 7, 165U, 1.7GHz",16,Intel Graphics,Vỏ nhựa,1.23,"3-cell, 54 Wh",thegioididong
Dell Inspiron 7440 Core 7 150U (N7440-C7U161W11IBU),1024,30990000.0,"14"", Full HD+, Cảm ứng","Core 7, 150U",16,Intel Graphics,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.71,"3-cell, 54 Wh",thegioididong
Dell G15 5530 i7 13650HX (i7HX161W11GR4060),1024,36990000.0,"15.6"", Full HD (1920 x 1080), 165Hz","i7, 13650HX, 2.6GHz",16,RTX 4060 8GB,Vỏ nhựa,2.81,"6-cell Li-ion, 86 Wh",thegioididong
Dell G15 5530 i9 13900HX (i9HX161W11GR4060),1024,40990000.0,"15.6"", Full HD (1920 x 1080), 165Hz","i9, 13900HX, 3.90 GHz",16,RTX 4060 8GB,Vỏ nhựa,2.81,"6-cell Li-ion, 86 Wh",thegioididong
Dell XPS 13 9340 Ultra 7 155H (HXRGT),1024,54990000.0,"13.4"", QHD+ (2560 x 1600), Cảm ứng","Ultra 7, 155H",16,Intel Arc Graphics,Hợp kim Nhôm-Carbon,1.17,"3-cell, 55 Wh",thegioididong
Dell XPS 13 9340 Ultra 7 155H (HXRGT2),1024,59990000.0,"13.4"", QHD+ (2560 x 1600), Cảm ứng","Ultra 7, 155H, 3.8GHz",16,Intel Arc Graphics,Hợp kim Nhôm-Carbon,1.17,"3-cell, 55 Wh",thegioididong
Dell XPS 13 9350 Ultra 7 256V (XPSU7016W1),512,56990000.0,"13.4"", QHD+ (2560 x 1600), 120Hz","Intel Core Ultra 7 Lunar Lake, 256V, 2.2GHz",16,Intel Arc Graphics,Vỏ kim loại - Nhôm,1.19,"3-cell, 55 Wh",thegioididong
Laptop Dell Inspiron N3520 i5 1235U,512,14490000.0,15.6,Core i5,8,Intel UHD Graphics,Nhựa,45901.0,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Inspiron N3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel UHD Graphics,Nhựa,1.66,Pin Li-ion 4 Cell,FPT shop
Laptop Dell Vostro V3520 i5-1235U,512,15990000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,45901.0,Pin Li-ion 4 Cell,FPT shop
Laptop Dell Inspiron N3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,45901.0,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Vostro V3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,45901.0,Pin Li-ion 41 Wh,FPT shop
Laptop Dell Inspiron N3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.66,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Inspiron 15 3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel UHD Graphics,Nhựa,45901.0,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Inspiron 15 3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel UHD Graphics,Nhựa,45901.0,Lithium polymer,FPT shop
Laptop Dell Inspiron 15 N3520 i5 1235U,512,16490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,45901.0,Lithium polymer,FPT shop
Laptop Dell Latitude L3540 i5 1235U,512,16990000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.81,Pin Li-ion,FPT shop
Laptop Dell Inspiron N3530 i5 1334U,512,18490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.66,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Vostro 15 V3530 i5 1335U,512,18490000.0,15.6,Core i5,16,Intel Iris Xe Graphics,Nhựa,1657.0,3 Cell,FPT shop
Laptop Dell Inspiron 14 N5440 i5 1334U,512,20990000.0,14,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.54,3 Cell,FPT shop
Laptop Dell Vostro V3430 i5 1335U,512,18490000.0,14,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.49,Pin Li-ion 3 Cell,FPT shop
Laptop Dell Inspiron 15 3530 i7 1355U,512,21490000.0,15.6,Core i7,16,Intel Iris Xe Graphics,Nhựa,1.66,Pin Li-ion 4 Cell,FPT shop
Laptop Dell Inspiron 15 3530 i7 1355U,512,21490000.0,15.6,Core i7,16,Intel Iris Xe Graphics,Nhựa,1.67,Pin Li-ion 4 Cell,FPT shop
Laptop Dell Inspiron 16 N5640 i5 1334U,512,21990000.0,16,Core i5,16,Intel Iris Xe Graphics,Nhựa,1.87,Pin Li-ion 54Wh,FPT shop
Laptop Dell Inspiron 14 7440 2in1 Core5 120U,1024,28990000.0,14,Core i5,16,Intel Graphics,Nhựa,1.74,4 Cell 54Wh,FPT shop
Laptop Dell Gaming G15 5530 i7 13650HX,512,35490000.0,15.6,Core i7,16,Intel UHD Graphics,Nhựa,2.81,3 Cell,FPT shop
Laptop Dell XPS 13 9340 Ultra 7 155H,1024,55490000.0,13.4,Core Ultra 7,16,Intel Arc Graphics,Armor aluminum,1243.0,Pin Li-ion 3 Cell 55W,FPT shop
Laptop Dell XPS 13 9350 Ultra7 256V,512,61990000.0,13.4,Ultra 7,16,Intel Arc Graphics,Nhôm & Nhựa,1.22,Pin Li-ion 3 Cell 60W,FPT shop
Laptop Dell XPS 14 9440 Ultra7 155H,1024,76990000.0,14.5,Core Ultra 7,64,Intel Arc Graphics,Nhôm,45870.0,Pin Li-ion 6 Cell,FPT shop
Dell Vostro 15 3530 (V5I3001W1),256,10890000.0,15.6,i3-1305U,8,Intel UHD Graphics,Nhựa,45901.0,"3 Cell, 41 Wh",Hoàng Hà mobile
Dell Vostro 15 3530 (V5I3465W1),512,11950000.0,15.6,i3 - 1305U,8,Intel UHD Graphics,Nhựa,45901.0,"3 Cell, 41 Wh",Hoàng Hà mobile
Dell Inspiron 3530 (71043884),512,12190000.0,15.6,i3 - 1305U,8,Intel UHD Graphics,Nhựa,1.65,3 cell / 41 Whr,Hoàng Hà mobile
Dell Inspiron 15 3520 (71027003),512,12990000.0,15.6,i5 - 1235U,8,Intel Iris Xe Graphics,nhựa,1.99,"3 Cell, 41 Wh",Hoàng Hà mobile
Laptop Dell Inspiron 3520 (71049019),512,13290000.0,15.6,i5 - 1235U,8,Intel UHD Graphics,nhựa,1.83,3 cell,Hoàng Hà mobile
Laptop Dell Inspiron 3520 25P2311,512,13990000.0,15.6,i5 - 1235U,8,Card đồ hoạ Intel UHD,Nhựa,1.64,3 Cell Int (41Wh),Hoàng Hà mobile
Dell Vostro 3520 (71030559),512,13990000.0,15.6,i5 - 1235U,16,Intel Iris Xe Graphics,nhựa,1.66,"3 Cell, 41 Wh",Hoàng Hà mobile
Dell Inspiron 3520 (71045026),512,13990000.0,15.6,i5 - 1235U,16,Intel UHD Graphics,nhựa,45901.0,"3 cell, 41 Wh",Hoàng Hà mobile
Laptop Dell Inspiron 3520 N5I5057W1,512,14490000.0,15.6,i5 - 1235U,16,Intel Iris Xe Graphics,nhựa,10106.38919708029,"3-cell, 41Wh",Hoàng Hà mobile
Dell Inspiron 15 3520 (N5I5011W1),512,14850000.0,15.6,i5 - 1235U,16,Intel Iris Xe Graphics,nhựa,45901.0,"3-cell Li-ion, 41 Wh",Hoàng Hà mobile
Dell Inspiron 15 3520 (71043874),512,14990000.0,15.6,i5 - 1235U,8,Intel UHD Graphics,nhựa,45901.0,3 cell / 41 Whr,Hoàng Hà mobile
Dell Inspiron 15 3520 (N5I5052W1),512,14990000.0,15.6,i5 - 1235U,16,Intel Iris Xe Graphics,nhựa,1.66,41 Wh,Hoàng Hà mobile
Dell Inspiron 3530 (71043887),512,15290000.0,15.6,i5 - 1334U,8,Intel UHD Graphics,nhựa,1.66,3 cell / 41 Whr,Hoàng Hà mobile
Laptop Dell Latitude 3540 71038100,512,15490000.0,15.6,i5 - 1235U,16,Intel® Iris® Xe,nhựa,1.81,"3-cell, 42Wh",Hoàng Hà mobile
Dell Vostro 15 3530 (80GG93),512,15490000.0,15.6,i5 -1335U,16,Intel UHD Graphics,Nhựa,45901.0,"3 Cell, 41 Wh",Hoàng Hà mobile
Laptop Dell Inspiron 15 3520 25P2312,512,15990000.0,15.6,i5 -1235U,16,Intel Iris Xe,Nhựa,45839.0,3 cell 41 Wh,Hoàng Hà mobile
Dell Vostro 14 3430 (71011900),512,15990000.0,14,i5 - 1335U,8,Intel UHD Graphics,nhựa,1.44,41Wh,Hoàng Hà mobile
Dell Vostro 14 3430 (71021669),512,15990000.0,14,i5 - 1335U,16,Intel Iris Xe Graphics,nhựa,1.44,41Wh,Hoàng Hà mobile
Dell Inspiron 16 5625-99VP91,512,15990000.0,16,R7 - 5825U,8,AMD Radeon Graphics,kim loại,1.97,54WHrs,Hoàng Hà mobile
Dell Inspiron 15 3530 (N5I5340W1),512,15990000.0,15.6,i5 - 1334U,16,Intel Iris Xe,nhựa,1.62,41WHrs,Hoàng Hà mobile
Dell Inspiron 3530 N5I5007W1,512,16790000.0,15.6,i5 - 1335U,16,Intel UHD Graphics,nhựa,1.83,"3-cell Li-ion, 41 Wh",Hoàng Hà mobile
Dell Inspiron 15 3530 (N5I5791W1),512,16790000.0,15.6,i5 - 1335U,16,Intel Iris Xe,nhựa,1.65,"3 Cell, 41 Wh",Hoàng Hà mobile
Dell Inspiron 3530 (71043885),512,17290000.0,15.6,i5 - 1334U,16,Intel UHD Graphics,nhựa,1.66,3 cell / 41 Whr,Hoàng Hà mobile
Dell Inspiron 15 3530-71014840,512,17490000.0,15.6,i5 - 1335U,8,Intel Iris Xe Graphics,nhựa,1.63,"3-cell Li-ion, 41 Wh",Hoàng Hà mobile
Dell Inspiron 16 5620-71003903,512,17490000.0,16,i5 - 1235U,8,Intel Iris Xe Graphics,kim loại,1.87,54 Wh,Hoàng Hà mobile
Laptop Dell Latitude 3550 71047018,512,18490000.0,15.6,i5 - 1335U,16,Intel® Iris® Xe,Nhựa,1.81,"3- cell, 54Wh",Hoàng Hà mobile
Dell Inspiron 3530 (71043888),512,19990000.0,15.6,i7 - 1355U,16,Intel Iris Xe Graphics,nhựa,1.66,4 cell / 54 Whr,Hoàng Hà mobile
Dell Inspiron 16 5630 (71020244),512,19990000.0,16,i5-1335U,8,Intel Iris Xe Graphics,kim loại,1.94,54 Wh,Hoàng Hà mobile
Laptop Dell Inspiron 3530 N5I7305W1,512,19990000.0,15.6,i7 - 1355U,16,Intel Iris Xe Graphics,nhựa,1.67,4 cell 54 Wh,Hoàng Hà mobile
Dell Inspiron 14 7430 (N7430I58W1),512,20490000.0,14,i5 - 1335U,8,Intel Iris Xe Graphics,kim loại,1.58,"4 Cell, 54 Wh",Hoàng Hà mobile
Dell Inspiron 16 5640 (N6I5419W1),512,20990000.0,16,I5 - 1334U,16,Intel Iris Xe Graphics G7 80EUs,nhựa,1.87,65Wh,Hoàng Hà mobile
Dell Inspiron 14 5430 (N4I5497W1),512,21490000.0,14,i5 - 1340P,16,Intel Iris Xe Graphics,"Vỏ nhựa, nắp lưng bằng kim loại",1531.0,"4 Cell, 54 Wh",Hoàng Hà mobile
Dell Inspiron 14 5440 (N4I5211W1),512,21990000.0,14,i5 - 120U,16,Intel(R) Graphics,nhựa,1.67,65Wh,Hoàng Hà mobile
Dell Inspiron 14 5440 (71034769),1024,21990000.0,14,i5 - 120U,16,Intel Graphics,nhôm,1.67,4 Cell - 54Wh,Hoàng Hà mobile
Dell Inspiron 15 3530 (N3530I716W1),512,22190000.0,15.6,i7 - 1355U,16,Intel Iris Xe Graphics,nhựa,1.65,54 Wh,Hoàng Hà mobile
Dell Inspiron 15 3530 (71026454),512,22390000.0,15.6,i7 - 1355U,16,Intel Iris Xe,nhựa,1.65,"3 Cell, 41 Wh",Hoàng Hà mobile
Dell Inspiron 16 5640 (71035923),1024,22790000.0,16,I5 - 120U,16,Intel Graphics,Nhựa,1.87,4 Cell - 54Wh,Hoàng Hà mobile
Dell Inspiron 14 5440 (N4I7204W1),512,23490000.0,14,i7 - 150U,16,Intel Graphics,nhựa,1.67,65Wh,Hoàng Hà mobile
Dell Inspiron 14 5440 (71034770),1024,26990000.0,14,i7 - 150U,16,Intel UHD Graphics,nhôm,1.56,4 Cell - 54Wh,Hoàng Hà mobile
Dell Inspiron 16 5640 (N6I7512W1),1024,29990000.0,16,I7 - 150U,16,Intel UHD Graphics,kim loại,1.87,54 Whr,Hoàng Hà mobile
Laptop Dell Latitude 5550 71047019,512,31290000.0,15.6,165U,16,Intel Iris Xe Graphics,nhựa,1.62,3 Cell 54 Wh,Hoàng Hà mobile
Laptop Dell Gaming G15 5530 (71045030),512,35490000.0,15.6,i7 - 13650HX,16,RTX 3050,Nhựa,2.81,"86WHrs, Li-ion 6 pin",Hoàng Hà mobile
Laptop Dell XPS 13 9340 (71034922),1024,49990000.0,13.4,U5 - 125H,16,Intel Arc Graphics,Nhựa,1.19,3Cell 55WHrs,Hoàng Hà mobile
Dell XPS 13 Plus 9320-5CG56,512,49990000.0,13.4,i7 - 1260P,16,Intel Iris Xe,kim loại,1.26,55 Wh,Hoàng Hà mobile
Laptop Dell XPS 14 9440 (71034921),1024,74490000.0,14.5,U7 - 155H,64,RTX 4050,Nhựa,1.74,6 cell 69.5Wh,Hoàng Hà mobile
